Player Name,Score,Time Taken
chef,3,96
ppppphrt,3,35
nmm,3,46
k,3,74
n,3,93
nam,3,49
nongnam,3,30
new,3,18
test,1,12
nongnam,3,45
napat,2,22
u,3,32
ww,3,77
huh,3,23
R,3,43
yay,3,23
yay,3,47
oop,2,25
hi,1,27
J,1,23
You,2,96
hello,1,32
kgt,3,39
testtttt,3,84
scoreee,3,88
visual,3,23
jahjahjah,3,55
maiK,3,107
againandagain,3,34
lenfunc,3,67
testtest,3,48
quit,3,29
ku,3,59
ok_test,3,124
ccheffffff,3,64
huhhhhhhh,3,74
new_show_menu,3,17
question,3,61
ok_worked,3,53
50_rows_loey_lohr,3,48
tytyytyr,3,108
maze,3,24
test_collect_data,3,32
enemy_en,3,68
record_step,3,72
well_col_test,3,55
1,3,22
2,3,92
ty,3,40
yuta,3,27
boss,3,76
nano,3,41
rung,3,26
boom,3,26
nene,3,29
amy,3,39
java,3,34
maysa,3,44
sea,3,30
karn,3,30
numtan,3,22
chiya,3,23
ice,3,17
play,3,45
music,3,53
korn,3,73
jaehyun,3,28
winwin,3,61
wonwoo,3,23
mingyu,3,37
player1,3,55
player2,2,63
player3,3,41
player4,1,20
player5,3,88
player6,3,47
player7,2,50
player8,3,36
player9,1,25
player10,3,70
player11,3,60
player12,2,45
player13,3,33
player14,3,68
player15,3,39
player16,3,15
player17,3,80
player18,3,54
player19,3,28
player20,3,90
player21,3,44
player22,3,18
player23,3,42
player24,3,73
player25,3,49
player26,3,66
player27,3,10
player28,3,37
player29,3,64
player30,3,52
player31,3,58
player32,3,40
player33,3,31
player34,3,21
player35,3,85
player36,3,59
player37,3,38
player38,3,46
player39,3,75
player40,3,53
player41,3,34
player42,3,34
strat,3,66
mons,3,61
b,3,65
343,3,163
t,3,56
mean,3,42
name...,3,96
maze_test,3,101
keyz,3,56
key_count,3,88
whynot,3,31
should_work,3,42
fixing,3,17
grass,3,58
test)but,3,25
demon,3,77
okgo,3,16
demonstate,3,52
ran,3,40
